---------------------------------17:56:51-------------------------------
[17:59:37][3DBOX] Delte block box
[17:59:37][3DBOX] Delte block box
[17:59:37][3DBOX] Delte block box
[17:59:38][3DBOX] Delte block box
[17:59:38][3DBOX] Delte block box
[17:59:38][3DBOX] Delte block box
[17:59:38][3DBOX] Delte block box
[17:59:39][3DBOX] Delte block box
[17:59:39][3DBOX] Delte block box
[17:59:39][3DBOX] Delte block box
[17:59:39][3DBOX] Delte block box
[17:59:40][3DBOX] Delte block box
[17:59:40][3DBOX] Delte block box
[17:59:40][3DBOX] Delte block box
[17:59:40][3DBOX] Delte block box
[17:59:40][3DBOX] Delte block box
[17:59:41][3DBOX] Delte block box
[17:59:42][3DBOX] Delte block box
[17:59:43][3DBOX] Delte block box
[17:59:43][3DBOX] Delte block box
[17:59:43][3DBOX] Delte block box
[17:59:43][3DBOX] Saving world
[17:59:43][3DBOX] Saved world
[17:59:43][3DBOX] Delte block box
[17:59:44][3DBOX] Delte block box
[17:59:44][3DBOX] Delte block box
[17:59:44][3DBOX] Delte block box
[17:59:44][3DBOX] Delte block box
[17:59:45][3DBOX] Delte block box
[17:59:45][3DBOX] Delte block box
[17:59:45][3DBOX] Delte block box
[17:59:45][3DBOX] Delte block box
[17:59:46][3DBOX] Delte block box
[17:59:46][3DBOX] Delte block box
[17:59:46][3DBOX] Delte block box
[17:59:46][3DBOX] Delte block box
[17:59:46][3DBOX] Delte block box
[17:59:47][3DBOX] Delte block box
[17:59:47][3DBOX] Delte block box
[17:59:47][3DBOX] Delte block box
[17:59:47][3DBOX] Delte block box
[17:59:48][3DBOX] Delte block box
[17:59:48][3DBOX] Delte block box
[17:59:48][3DBOX] Delte block box
[17:59:48][3DBOX] Delte block box
[17:59:49][3DBOX] Delte block box
[17:59:49][3DBOX] Delte block box
[17:59:49][3DBOX] Delte block box
[17:59:54][3DBOX] Delte block box
[18:0:0][3DBOX] Delte block box
[18:0:0][3DBOX] Delte block box
[18:0:0][3DBOX] Delte block box
[18:0:0][3DBOX] Delte block box
[18:0:0][3DBOX] Delte block box
[18:0:1][3DBOX] Delte block box
[18:0:2][3DBOX] Delte block box
[18:0:3][3DBOX] Delte block box
[18:0:3][3DBOX] Delte block box
[18:0:3][3DBOX] Delte block box
[18:0:3][3DBOX] Delte block box
[18:0:3][3DBOX] Saving world
[18:0:3][3DBOX] Saved world
[18:0:4][3DBOX] Delte block box
[18:0:4][3DBOX] Delte block box
[18:0:4][3DBOX] Delte block box
[18:0:4][3DBOX] Delte block box
[18:0:4][3DBOX] Delte block box
[18:0:5][3DBOX] Delte block box
[18:0:5][3DBOX] Delte block box
[18:0:5][3DBOX] Delte block box
[18:0:5][3DBOX] Delte block box
[18:0:5][3DBOX] Delte block box
[18:0:6][3DBOX] Delte block box
[18:0:6][3DBOX] Delte block box
[18:0:6][3DBOX] Delte block box
[18:0:6][3DBOX] Delte block box
[18:0:7][3DBOX] Delte block box
[18:0:7][3DBOX] Delte block box
[18:0:8][3DBOX] Delte block box
[18:0:9][3DBOX] Delte block box
[18:0:9][3DBOX] Delte block box
[18:0:9][3DBOX] Delte block box
[18:0:14][3DBOX] Delte block box
[18:0:14][3DBOX] Delte block box
[18:0:15][3DBOX] Delte block box
[18:0:15][3DBOX] Delte block box
[18:0:15][3DBOX] Delte block box
[18:0:15][3DBOX] Delte block box
[18:0:16][3DBOX] Delte block box
[18:0:16][3DBOX] Delte block box
[18:0:16][3DBOX] Delte block box
[18:0:16][3DBOX] Delte block box
[18:0:17][3DBOX] Delte block box
[18:0:17][3DBOX] Delte block box
[18:0:17][3DBOX] Delte block box
[18:0:17][3DBOX] Delte block box
[18:0:17][3DBOX] Delte block box
[18:0:18][3DBOX] Delte block box
[18:0:18][3DBOX] Delte block box
[18:0:18][3DBOX] Delte block box
[18:0:18][3DBOX] Delte block box
[18:0:21][3DBOX] Delte block box
[18:0:21][3DBOX] Delte block box
[18:0:22][3DBOX] Delte block box
[18:0:22][3DBOX] Delte block box
[18:0:22][3DBOX] Delte block box
[18:0:22][3DBOX] Delte block box
[18:0:23][3DBOX] Delte block box
[18:0:23][3DBOX] Delte block box
[18:0:23][3DBOX] Delte block box
[18:0:23][3DBOX] Saving world
[18:0:23][3DBOX] Saved world
[18:0:23][3DBOX] Delte block box
[18:0:24][3DBOX] Delte block box
[18:0:24][3DBOX] Delte block box
[18:0:24][3DBOX] Delte block box
[18:0:24][3DBOX] Delte block box
[18:0:25][3DBOX] Delte block box
[18:0:25][3DBOX] Delte block box
[18:0:25][3DBOX] Delte block box
[18:0:26][3DBOX] Delte block box
[18:0:26][3DBOX] Delte block box
[18:0:26][3DBOX] Delte block box
[18:0:26][3DBOX] Delte block box
[18:0:26][3DBOX] Delte block box
[18:0:27][3DBOX] Delte block box
[18:0:27][3DBOX] Delte block box
[18:0:27][3DBOX] Delte block box
[18:0:27][3DBOX] Delte block box
[18:0:28][3DBOX] Delte block box
[18:0:28][3DBOX] Delte block box
[18:0:28][3DBOX] Delte block box
[18:0:28][3DBOX] Delte block box
[18:0:29][3DBOX] Delte block box
[18:0:29][3DBOX] Delte block box
[18:0:29][3DBOX] Delte block box
[18:0:29][3DBOX] Delte block box
[18:0:30][3DBOX] Delte block box
[18:0:30][3DBOX] Delte block box
[18:0:30][3DBOX] Delte block box
[18:0:30][3DBOX] Delte block box
[18:0:31][3DBOX] Delte block box
[18:0:31][3DBOX] Delte block box
[18:0:31][3DBOX] Delte block box
[18:0:32][3DBOX] Delte block box
[18:0:32][3DBOX] Delte block box
[18:0:32][3DBOX] Delte block box
[18:0:32][3DBOX] Delte block box
[18:0:33][3DBOX] Delte block box
[18:0:33][3DBOX] Delte block box
[18:0:33][3DBOX] Delte block box
[18:0:33][3DBOX] Delte block box
[18:0:34][3DBOX] Delte block box
[18:0:34][3DBOX] Delte block box
[18:0:34][3DBOX] Delte block box
[18:0:34][3DBOX] Delte block box
[18:0:35][3DBOX] Delte block box
[18:0:35][3DBOX] Delte block box
[18:0:35][3DBOX] Delte block box
[18:0:36][3DBOX] Delte block box
[18:0:37][3DBOX] Delte block box
[18:0:37][3DBOX] Delte block box
[18:0:38][3DBOX] Delte block box
[18:0:38][3DBOX] Delte block box
[18:0:38][3DBOX] Delte block box
[18:0:39][3DBOX] Delte block box
[18:0:39][3DBOX] Delte block box
[18:0:39][3DBOX] Delte block box
[18:0:39][3DBOX] Delte block box
[18:0:40][3DBOX] Delte block box
[18:0:40][3DBOX] Delte block box
[18:0:40][3DBOX] Delte block box
[18:0:40][3DBOX] Delte block box
[18:0:41][3DBOX] Delte block box
[18:0:41][3DBOX] Delte block box
[18:0:41][3DBOX] Delte block box
[18:0:41][3DBOX] Delte block box
[18:0:42][3DBOX] Delte block box
[18:0:42][3DBOX] Delte block box
[18:0:42][3DBOX] Delte block box
[18:0:42][3DBOX] Delte block box
[18:0:42][3DBOX] Delte block box
[18:0:43][3DBOX] Delte block box
[18:0:43][3DBOX] Delte block box
[18:0:43][3DBOX] Delte block box
[18:0:43][3DBOX] Saving world
[18:0:43][3DBOX] Saved world
[18:0:50][3DBOX] Delte block box
[18:0:51][3DBOX] Delte block box
[18:0:51][3DBOX] Delte block box
[18:0:52][3DBOX] Delte block box
[18:0:52][3DBOX] Delte block box
[18:0:52][3DBOX] Delte block box
[18:0:52][3DBOX] Delte block box
[18:0:53][3DBOX] Delte block box
[18:0:53][3DBOX] Delte block box
[18:0:53][3DBOX] Delte block box
[18:0:54][3DBOX] Delte block box
[18:0:54][3DBOX] Delte block box
[18:0:54][3DBOX] Delte block box
[18:0:55][3DBOX] Delte block box
[18:0:55][3DBOX] Delte block box
[18:0:55][3DBOX] Delte block box
[18:0:55][3DBOX] Delte block box
[18:0:56][3DBOX] Delte block box
[18:0:56][3DBOX] Delte block box
[18:0:56][3DBOX] Delte block box
[18:0:56][3DBOX] Delte block box
[18:0:57][3DBOX] Delte block box
[18:0:57][3DBOX] Delte block box
[18:0:57][3DBOX] Delte block box
[18:0:57][3DBOX] Delte block box
[18:0:58][3DBOX] Delte block box
[18:0:58][3DBOX] Delte block box
[18:0:58][3DBOX] Delte block box
[18:0:58][3DBOX] Delte block box
[18:0:58][3DBOX] Delte block box
[18:0:59][3DBOX] Delte block box
[18:0:59][3DBOX] Delte block box
[18:0:59][3DBOX] Delte block box
[18:0:59][3DBOX] Delte block box
[18:1:0][3DBOX] Delte block box
[18:1:0][3DBOX] Delte block box
[18:1:2][3DBOX] Delte block box
[18:1:2][3DBOX] Delte block box
[18:1:3][3DBOX] Delte block box
[18:1:3][3DBOX] Delte block box
[18:1:3][3DBOX] Delte block box
[18:1:3][3DBOX] Delte block box
[18:1:3][3DBOX] Saving world
[18:1:3][3DBOX] Saved world
[18:1:4][3DBOX] Delte block box
[18:1:4][3DBOX] Delte block box
[18:1:4][3DBOX] Delte block box
[18:1:4][3DBOX] Delte block box
[18:1:5][3DBOX] Delte block box
[18:1:5][3DBOX] Delte block box
[18:1:5][3DBOX] Delte block box
[18:1:6][3DBOX] Delte block box
[18:1:6][3DBOX] Delte block box
[18:1:6][3DBOX] Delte block box
[18:1:7][3DBOX] Delte block box
[18:1:7][3DBOX] Delte block box
[18:1:7][3DBOX] Delte block box
[18:1:7][3DBOX] Delte block box
[18:1:8][3DBOX] Delte block box
[18:1:8][3DBOX] Delte block box
[18:1:8][3DBOX] Delte block box
[18:1:8][3DBOX] Delte block box
[18:1:9][3DBOX] Delte block box
[18:1:9][3DBOX] Delte block box
[18:1:9][3DBOX] Delte block box
[18:1:9][3DBOX] Delte block box
[18:1:10][3DBOX] Delte block box
[18:1:10][3DBOX] Delte block box
[18:1:10][3DBOX] Delte block box
[18:1:11][3DBOX] Delte block box
[18:1:11][3DBOX] Delte block box
[18:1:11][3DBOX] Delte block box
[18:1:11][3DBOX] Delte block box
[18:1:12][3DBOX] Delte block box
[18:1:12][3DBOX] Delte block box
[18:1:12][3DBOX] Delte block box
[18:1:12][3DBOX] Delte block box
[18:1:13][3DBOX] Delte block box
[18:1:13][3DBOX] Delte block box
[18:1:13][3DBOX] Delte block box
[18:1:13][3DBOX] Delte block box
[18:1:14][3DBOX] Delte block box
[18:1:14][3DBOX] Delte block box
[18:1:14][3DBOX] Delte block box
[18:1:14][3DBOX] Delte block box
[18:1:15][3DBOX] Delte block box
[18:1:15][3DBOX] Delte block box
[18:1:15][3DBOX] Delte block box
[18:1:16][3DBOX] Delte block box
[18:1:16][3DBOX] Delte block box
[18:1:16][3DBOX] Delte block box
[18:1:16][3DBOX] Delte block box
[18:1:17][3DBOX] Delte block box
[18:1:17][3DBOX] Delte block box
[18:1:17][3DBOX] Delte block box
[18:1:18][3DBOX] Delte block box
[18:1:18][3DBOX] Delte block box
[18:1:18][3DBOX] Delte block box
[18:1:18][3DBOX] Delte block box
[18:1:18][3DBOX] Delte block box
[18:1:19][3DBOX] Delte block box
[18:1:19][3DBOX] Delte block box
[18:1:19][3DBOX] Delte block box
[18:1:19][3DBOX] Delte block box
[18:1:20][3DBOX] Delte block box
[18:1:20][3DBOX] Delte block box
[18:1:20][3DBOX] Delte block box
[18:1:21][3DBOX] Delte block box
[18:1:21][3DBOX] Delte block box
[18:1:22][3DBOX] Delte block box
[18:1:22][3DBOX] Delte block box
[18:1:22][3DBOX] Delte block box
[18:1:22][3DBOX] Delte block box
[18:1:23][3DBOX] Delte block box
[18:1:23][3DBOX] Delte block box
[18:1:23][3DBOX] Delte block box
[18:1:23][3DBOX] Delte block box
[18:1:23][3DBOX] Saving world
[18:1:23][3DBOX] Saved world
[18:1:24][3DBOX] Delte block box
[18:1:24][3DBOX] Delte block box
[18:1:25][3DBOX] Delte block box
[18:1:25][3DBOX] Delte block box
[18:1:25][3DBOX] Delte block box
[18:1:25][3DBOX] Delte block box
[18:1:26][3DBOX] Delte block box
[18:1:26][3DBOX] Delte block box
[18:1:26][3DBOX] Delte block box
[18:1:26][3DBOX] Delte block box
[18:1:26][3DBOX] Delte block box
[18:1:27][3DBOX] Delte block box
[18:1:27][3DBOX] Delte block box
[18:1:28][3DBOX] Delte block box
[18:1:28][3DBOX] Delte block box
[18:1:28][3DBOX] Delte block box
[18:1:28][3DBOX] Delte block box
[18:1:29][3DBOX] Delte block box
[18:1:29][3DBOX] Delte block box
[18:1:29][3DBOX] Delte block box
[18:1:30][3DBOX] Delte block box
[18:1:30][3DBOX] Delte block box
[18:1:30][3DBOX] Delte block box
[18:1:31][3DBOX] Delte block box
[18:1:31][3DBOX] Delte block box
[18:1:31][3DBOX] Delte block box
[18:1:31][3DBOX] Delte block box
[18:1:32][3DBOX] Delte block box
[18:1:32][3DBOX] Delte block box
[18:1:32][3DBOX] Delte block box
[18:1:33][3DBOX] Delte block box
[18:1:33][3DBOX] Delte block box
[18:1:33][3DBOX] Delte block box
[18:1:33][3DBOX] Delte block box
[18:1:34][3DBOX] Delte block box
[18:1:34][3DBOX] Delte block box
[18:1:34][3DBOX] Delte block box
[18:1:34][3DBOX] Delte block box
[18:1:35][3DBOX] Delte block box
[18:1:35][3DBOX] Delte block box
[18:1:35][3DBOX] Delte block box
[18:1:36][3DBOX] Delte block box
[18:1:36][3DBOX] Delte block box
[18:1:36][3DBOX] Delte block box
[18:1:37][3DBOX] Delte block box
[18:1:37][3DBOX] Delte block box
[18:1:37][3DBOX] Delte block box
[18:1:37][3DBOX] Delte block box
[18:1:37][3DBOX] Delte block box
[18:1:38][3DBOX] Delte block box
[18:1:38][3DBOX] Delte block box
[18:1:38][3DBOX] Delte block box
[18:1:38][3DBOX] Delte block box
[18:1:40][3DBOX] Delte block box
[18:1:40][3DBOX] Delte block box
[18:1:40][3DBOX] Delte block box
[18:1:43][3DBOX] Saving world
[18:1:43][3DBOX] Saved world
[18:2:3][3DBOX] Saving world
[18:2:4][3DBOX] Saved world
[18:2:6][3DBOX] New block box
[18:2:6][3DBOX] New block box
[18:2:8][3DBOX] New block box
[18:2:8][3DBOX] Delte block box
[18:2:9][3DBOX] New block box
[18:2:9][3DBOX] New block box
[18:2:14][3DBOX] New block box
[18:2:15][3DBOX] New block box
[18:2:16][3DBOX] Delte block box
[18:2:16][3DBOX] New block box
[18:2:20][3DBOX] New block box
[18:2:21][3DBOX] Delte block box
[18:2:22][3DBOX] New block box
[18:2:22][3DBOX] New block box
[18:2:23][3DBOX] Delte block box
[18:2:23][3DBOX] New block box
[18:2:24][3DBOX] Saving world
[18:2:24][3DBOX] Saved world
[18:2:26][3DBOX] New block box
[18:2:26][3DBOX] Delte block box
[18:2:27][3DBOX] New block box
[18:2:27][3DBOX] New block box
[18:2:30][3DBOX] New block box
[18:2:31][3DBOX] Delte block box
[18:2:31][3DBOX] New block box
[18:2:32][3DBOX] New block box
[18:2:33][3DBOX] Delte block box
[18:2:33][3DBOX] Delte block box
[18:2:33][3DBOX] New block box
[18:2:36][3DBOX] Delte block box
[18:2:36][3DBOX] New block box
[18:2:37][3DBOX] New block box
[18:2:38][3DBOX] Delte block box
[18:2:38][3DBOX] New block box
[18:2:39][3DBOX] New block box
[18:2:40][3DBOX] New block box
[18:2:42][3DBOX] Delte block box
